tid,createUser,subject,cycleTime,tsql,tobox,lastExecuteDate,NextExecuteDate,corpid,corpsecret,yxbz,format,repeat,agentid,timeZone
65,liuchao,疑似未收到采购结果订单,1,"select distinct OrderID
from tblOrderTemps  tot with (nolock)
where IsExported = 0
  and StockOut in (1, 10, 11, 12)
  and not exists(select 1
                 from tblOrderTemps tot1 with (nolock)
                 where tot.StoreID = tot1.StoreID
                   and tot.OrderID = tot1.OrderID
                   and tot1.ItemCode is null)
  and ItemCode is not null
  and CreationDate < getdate() - 0.2",xiafei|LiuChao|sujiawei|zhaijianfeng|chenkailiang,2025-07-14 23:15:00.000,2025-07-15 01:15:00.000,,,1,3,1,1000012,"0,1,2,3,4,5,6,7,8,9,10,17,18,19,20,21,22,23
"
68,liuchao,260店铺未buy label的订单,1,"select tor.PayPalTxID
                   from tblorders tor with(nolock)
                            left join tbl_common_shipping_file tcsf with(nolock) on tor.PayPalTxID = tcsf.sales_order_number
                   where tor.StoreID = 260 and tcsf.sales_order_number is null and tor.OrderStatus <>16
                   order by createDate DESC",xiafei|LiuChao|sujiawei|zhaijianfeng,2025-07-14 23:00:00.000,2025-07-15 01:00:00.000,,,1,3,1,1000012,"0,1,2,3,4,5,6,7,8,9,10,17,18,19,20,21,22,23
"
70,liuchao,ACME指定仓库错误,1,"select distinct temp.PayPalTxID
                                                         from (select distinct tor.PayPalTxID, tss.AssignedTo
                                                               from tblorders tor with (nolock)
                                                                        inner join tblOrderDetails tod with (nolock)
                                                                                   on tor.StoreID = tod.StoreID and tor.OrderNumber = tod.OrderNumber
                                                                        inner join tblShipments tss with (nolock) on tod.ShipmentID = tss.ShipmentID
                                                               where 1 = 1
                                                                 and tor.createDate > getdate() -7
                                                                 and tor.OrderStatus in (2, 4)
                                                                 and tss.AssignedTo = 66
                                                                 and tss.Carrier = 7
                                                                 and tor.StoreID in (205, 212,276,277)) temp
                                                                  join tblYzcOrders yzc with (nolock) on temp.PayPalTxID = yzc.OrderID
                                                         where isnull(yzc.Warehouse, '') <> 'CAL1'
                                                           and not exists(select 1
                                                                          from tbl_extra_shipping_file tesf with (nolock)
                                                                          where tesf.sales_order_number = temp.PayPalTxID)",xiafei|LiuChao|SongYingHui|sujiawei|zhaijianfeng,2025-07-15 00:00:00.000,2025-07-15 01:00:00.000,,,1,3,1,1000012,"1,17"
71,liuchao,疑是冻结库存后超分,1,"select distinct tor.PayPalTxID
                   from tblorders tor with (nolock)
                            inner join tblOrderDetails tod with (nolock) on tor.StoreID = tod.StoreID and tor.OrderNumber = tod.OrderNumber
                            inner join tblShipments tss with (nolock) on tod.StoreID = tss.ShipmentID
                            inner join tbl_hold_inventory thi with (nolock)
                                       on thi.item_code + '-001' = tod.ItemCode and thi.create_date_time > getdate() - 1 and
                                          tss.CreationDate > thi.create_date_time
                   where tor.createDate > '2023-01-01'
                     and tor.OrderStatus in (2, 4)",xiafei|LiuChao|ChenGuangKuo|SongYingHui|ZhangYuMeng|sujiawei|zhaijianfeng,2025-07-15 00:00:00.000,2025-07-15 01:00:00.000,,,1,3,1,1000012,"1,17"
72,liuchao,王庆卡车订单发货仓库和指定仓库不一致，需手动上传bol文件,1,"select distinct temp.PayPalTxID
                                      from (select distinct tor.PayPalTxID, twe.warehouseCode
                                            from tblorders tor with (nolock)
                                                     inner join tblOrderDetails tod with (nolock)
                                                                on tor.StoreID = tod.StoreID and tor.OrderNumber = tod.OrderNumber
                                                     inner join tblShipments tss with (nolock) on tod.ShipmentID = tss.ShipmentID
                                                     inner join tblWarehouseExts twe with (nolock) on tss.AssignedTo = twe.warehouseId
                                            where 1 = 1
                                              and tor.createDate > '2024-01-01'
                                              and tor.BuyerId = '2017'
                                              and tor.OrderStatus in (2, 4)
                                              and tss.Carrier = 7
                                              and tor.StoreID in (205, 212,276)) temp
                                               join tblYzcOrders yzc with (nolock) on temp.PayPalTxID = yzc.OrderID
                                      where isnull(yzc.Warehouse, '') <> temp.warehouseCode
                                        and not exists(select 1
                                                       from tbl_extra_shipping_file tesf with (nolock)
                                                       where tesf.sales_order_number = temp.PayPalTxID)",xiafei|LiuChao|SongYingHui|WangQing|sujiawei|zhaijianfeng,2025-07-15 00:00:00.000,2025-07-15 01:00:00.000,,,1,3,1,1000013,"1,17"
74,liuchao,王庆B2B MF417订单，缺少运输单，buyer需要取消原订单，重新导单,1,"select distinct temp.PayPalTxID
                                      from (select distinct tor.PayPalTxID
                                            from tblorders tor with (nolock)
                                            where 1 = 1
                                              and tor.createDate > '2024-01-01'
                                              and tor.BuyerId = '2017'
                                              and tor.OrderStatus not in (16, 32)
                                              and tor.StoreID in (205, 212,276)) temp
                                               join tblYzcOrders yzc with (nolock) on temp.PayPalTxID = yzc.OrderID
                                      where isnull(yzc.url, '') =''",xiafei|LiuChao|SongYingHui|WangQing|sujiawei|zhaijianfeng,2025-07-15 00:00:00.000,2025-07-15 01:00:00.000,,,1,3,1,1000013,"1,17"
75,liuchao,疑是存在无效label影响仓库合并,1,"select top 100 sales_order_number
                   from tbl_common_shipping_file with (nolock)
                   where 1 = 1
                     and merge_id is null
                     and store_id in (205, 212, 276, 277)
                     and shipping_label_type = 'PDF'
                     and shipping_file_from = 'FROM_B2B'
                     and shipping_label_path not like '%/processed%'
                   order by create_date_time DESC",xiafei|LiuChao|LiZhenBiao|sujiawei|zhaijianfeng,2025-07-15 00:00:00.000,2025-07-15 01:00:00.000,,,1,3,1,1000012,"0,1,2,3,4,5,6,7,8,9,10,17,18,19,20,21,22,23
"
81,liuchao,采购完成未导单订单,1,"select distinct tot.orderID
from tblOrderTemps tot with (nolock)
         inner join dap_order_owner doo with (nolock) on tot.orderID = doo.order_id
where tot.IsExported = 0
  and tot.StockOut = 0
  and tot.CreationDate > getdate() - 30
  and isnull(doo.create_date_time, getdate() - 1) < getdate() - 0.1",xiafei|LiuChao|LiZhenBiao|SongYingHui|sujiawei|zhaijianfeng|chenkailiang,2025-07-14 23:15:00.000,2025-07-15 01:15:00.000,,,1,3,1,1000012,"0,1,2,3,4,5,6,7,8,9,10,17,18,19,20,21,22,23
"
82,liuchao,疑似自动购买未及时解析,1,"select top 10 id as taskid from tblSyncTask with(nolock)  where PostValue = 'Release StockLock Order' and CreateTime > getdate() - 1 and CreateTime < getdate() -0.05 and STATUS in (0,1) order by CreateTime DESC",xiafei|LiuChao|SongYingHui|sujiawei|zhaijianfeng,2025-07-15 00:15:00.000,2025-07-15 01:15:00.000,,,1,3,1,1000012,"0,1,2,3,4,5,6,7,8,9,10,17,18,19,20,21,22,23
"
85,liuchao,label与发货单仓库不一致,1,"select sales_order_number
                                      from tbl_common_shipping_file tf with (nolock)
                                               join tblorders tor with (nolock) on tf.sales_order_number = tor.PayPalTxID
                                      where merge_id is null
                                        and exists(select 1 from tblShipments tss with (nolock) where tss.ShipmentID = tf.shipment_id )
                                        and tor.OrderStatus not in (16, 32)
                                        and not exists(select 1
                                                       from tblorders tor with (nolock)
                                                                join tblOrderDetails tOD with (nolock)
                                                                     on tor.StoreID = tOD.StoreID and tor.OrderNumber = tOD.OrderNumber
                                                                join tblShipments tS with (nolock) on tOD.ShipmentID = tS.ShipmentID
                                                       where tf.store_id = tor.StoreID
                                                         and tf.sales_order_number = tor.PayPalTxID
                                                         and tf.warehouse_id = ts.AssignedTo)",xiafei|LiuChao|SongYingHui|sujiawei|zhaijianfeng|chenkailiang,2025-07-15 00:15:00.000,2025-07-15 01:15:00.000,,,1,3,1,1000012,"0,1,2,3,4,5,6,7,8,9,10,17,18,19,20,21,22,23
"
87,liuchao,B2B订单未及时导单数,1,"select aa.countOrder from (
                   select count(1) countOrder from tblyzcorders with(nolock) where IsExported = 0 and CreateDate >getdate() -1 and CreateDate <getdate() -0.08
                   ) aa where aa.countOrder >0",xiafei|LiuChao|SongYingHui|sujiawei|zhaijianfeng|chenkailiang,2025-07-15 00:15:00.000,2025-07-15 01:15:00.000,,,1,3,1,1000012,"0,1,2,3,4,5,6,7,8,9,10,17,18,19,20,21,22,23
"
88,liuchao,"【DRP-监控】CAN3,CAN4,Lep1,Lep2仓库发货单提醒",1,"select distinct N'订单号: ' + tblo.PayPalTxID + N'; 仓库:' + twe.warehouseCode
                   from tblOrders tblo with (nolock)
                            join tblShipments tbls with (nolock) on tbls.StoreID = tblo.StoreID and tbls.OrderNumber = tblo.OrderNumber
                           join tblWarehouseExts twe with (nolock) on tbls.AssignedTo = twe.warehouseId
                   where tbls.AssignedTo in ( 140, 154, 156)
                     and tbls.Status in (1, 2, 4)
                     and tbls.CreationDate >= getdate() - 1",LiuChao|sujiawei|zhaijianfeng,2025-07-15 00:15:00.000,2025-07-15 01:15:00.000,,,1,3,1,1000012,
91,zhaijainfeng,"需要审核仓库的店铺订单,指定物流在DRP内无映射",1,"select N'销定:' + tbo.OrderID + N',店铺:' +tbse.DisplayName
                   from tblOrderTemps tbo with (nolock)
                            left join tblstoreExts tbse with (nolock) on tbo.StoreID = tbse.StoreID
                   where tbo.OrdersFrom != 'B2BReship'
                     and tbse.autobuy_check_warehouse in (3, 4)
                     and tbo.CreationDate > getdate() - 5
                     and drp_shipping_code is null",LiuChao|shishuwen|sujiawei|zhaijianfeng|chenkailiang,2025-07-15 00:15:00.000,2025-07-15 01:15:00.000,,,1,3,1,1000012,"0,1,2,3,4,5,6,7,8,9,10,17,18,19,20,21,22,23
"
92,liuchao,dajian店铺未及时导单订单,1,select distinct OrderID from tblAmazonOrdersForThirdParty with(nolock) where IsExported = 0 and createDate < getdate() -0.1,xiafei|LiuChao|SongYingHui|sujiawei|zhaijianfeng|chenkailiang,2025-07-15 00:15:00.000,2025-07-15 01:15:00.000,,,1,3,1,1000012,"0,1,2,3,4,5,6,7,8,9,10,17,18,19,20,21,22,23
"
93,zhaijainfeng,"buerId为1817,4173,6841的订单",1,"select PayPalTxID from  tblorders  with(nolock) where createDate > getdate() - 3 and OrderStatus = 4 and BuyerId in (1817,4173,6841)",LiuChao|shishuwen|sujiawei|zhaijianfeng,2025-07-15 00:15:00.000,2025-07-15 01:15:00.000,,,1,3,1,1000012,"0,1,2,3,4,5,6,7,8,9,10,17,18,19,20,21,22,23
"
94,zhaijainfeng,"NJX1,ATX4,CAX3,NJX2,CAX5订单未推送",3,"select distinct tblo.PayPalTxID '订单号'
                                      from tblShipments tbls with (nolock)
                                               join tblWarehouseExts tbwe with (nolock) on tbwe.warehouseId = tbls.AssignedTo
                                               join tblstoreExts tblst with (nolock) on tblst.StoreID = tbls.StoreID
                                               join tblOrders tblo with (nolock)
                                                    on tblo.StoreId = tbls.StoreId and tblo.orderNumber = tbls.orderNumber and tblo.OrderStatus = 2
                                               join tblOrderDetails tbld with (nolock) on tbld.StoreId = tbls.StoreId and tbld.orderNumber = tbls.orderNumber
                                          and tbld.shipmentId = tbls.shipmentId and tbld.ItemStatus = 1
                                      where tbwe.warehouseId in (80, 92, 98, 100, 108)
                                        and tbls.status = 1
                                        and tbls.CreationDate > getdate() - 90
                                        and tbls.CreationDate < getdate() - 0.5",LiuChao|shishuwen|sujiawei|zhaijianfeng,2025-07-14 23:15:00.000,2025-07-15 02:15:00.000,,,1,3,1,1000012,"0,1,2,3,4,5,6,7,8,9,10,17,18,19,20,21,22,23
"
96,zhaijainfeng,325店铺订单,1,"select tbo.PayPalTxID from tblOrders tbo with(nolock) where tbo.StoreID = 325
and tbo.createDate > getdate()-1
and tbo.OrderStatus not in (32,16,4)",LiuChao|sujiawei|zhaijianfeng,2025-07-15 00:15:00.000,2025-07-15 01:15:00.000,,,1,3,1,1000012,"0,1,2,3,4,5,6,7,8,9,10,17,18,19,20,21,22,23
"
99,zhaijainfeng,订单取消但是发货单并未删除,1,"select tbo.PayPalTxID
                   from tblOrders tbo with (nolock)
                            left join tblOrderDetails tod with (nolock) on tbo.StoreID = tod.StoreID and tbo.OrderNumber = tod.OrderNumber
                   where tbo.OrderStatus = 16
                     and tod.ShipmentID is not null
                     and tbo.createDate > getdate() -7",LiuChao|sujiawei|zhaijianfeng,2025-07-15 00:15:00.000,2025-07-15 01:15:00.000,,,1,3,1,1000012,"0,1,2,3,4,5,6,7,8,9,10,17,18,19,20,21,22,23"
100,zhaijainfeng,buyerPickUp未收到bol文件,12,"select N'销售订单号: ' + tbo.PayPalTxID
from tblOrders tbo with (nolock)
where tbo.StoreID = 256
  and tbo.OrderStatus = 2
  and not exists(select tesf.file_id
                 from tbl_extra_shipping_file tesf with (nolock)
                 where tesf.store_id = tbo.StoreID
                   and tesf.sales_order_number = tbo.PayPalTxID
                   and tesf.is_valid = 1)",LiuChao|sujiawei|zhaijianfeng,2025-07-14 23:15:00.000,2025-07-15 11:15:00.000,,,1,3,1,1000012,"0,1,2,3,4,5,6,7,8,9,10,17,18,19,20,21,22,23"
